order_id,customer_id,product_id,quantity,unit_price,total,order_date,status,shipping_city
ORD-001,3,1,1,249.99,249.99,2026-07-01,delivered,Paris
ORD-002,7,5,2,379.00,758.00,2026-07-02,shipped,Seoul
ORD-003,1,12,1,119.99,119.99,2026-07-03,delivered,New York
ORD-004,9,3,1,499.99,499.99,2026-07-04,processing,Barcelona
ORD-005,2,2,1,89.99,89.99,2026-07-05,delivered,London
ORD-006,5,8,3,29.99,89.97,2026-07-06,shipped,Madrid
ORD-007,11,6,1,199.00,199.00,2026-07-07,delivered,Sydney
ORD-008,4,14,2,89.00,178.00,2026-07-08,processing,Berlin
ORD-009,13,9,1,79.99,79.99,2026-07-09,shipped,Toronto
ORD-010,8,1,2,249.99,499.98,2026-07-10,delivered,Osaka
ORD-011,6,4,4,49.99,199.96,2026-07-11,delivered,Tokyo
ORD-012,15,11,1,19.99,19.99,2026-07-12,processing,Dublin
ORD-013,10,15,2,39.99,79.98,2026-07-13,shipped,Chicago
ORD-014,14,7,1,59.99,59.99,2026-07-14,delivered,Vancouver
ORD-015,12,10,3,45.00,135.00,2026-07-15,processing,Melbourne
