id,name,sku,category,subcategory,price_usd,stock_qty,supplier_id,rating
1,Wireless Noise-Cancelling Headphones,SKU-HC-001,Electronics,Audio,249.99,150,S001,4.7
2,Mechanical Keyboard RGB,SKU-KB-002,Electronics,Peripherals,89.99,320,S002,4.5
3,27-inch 4K Monitor,SKU-MN-003,Electronics,Displays,499.99,75,S001,4.8
4,USB-C Hub 7-Port,SKU-HB-004,Electronics,Accessories,49.99,500,S003,4.3
5,Ergonomic Office Chair,SKU-CH-005,Furniture,Seating,379.00,60,S004,4.6
6,Standing Desk Converter,SKU-DS-006,Furniture,Desks,199.00,45,S004,4.2
7,Laptop Stand Adjustable,SKU-LS-007,Furniture,Accessories,59.99,280,S005,4.4
8,Wireless Charging Pad,SKU-CP-008,Electronics,Accessories,29.99,400,S003,4.1
9,Webcam 1080p HD,SKU-WC-009,Electronics,Peripherals,79.99,200,S002,4.5
10,Smart LED Desk Lamp,SKU-DL-010,Lighting,Desk,45.00,350,S005,4.3
11,Cable Management Kit,SKU-CM-011,Accessories,Organisation,19.99,600,S006,4.0
12,Portable SSD 1TB,SKU-SSD-012,Electronics,Storage,119.99,180,S001,4.9
13,Noise Machine White,SKU-NM-013,Electronics,Audio,34.99,220,S006,4.2
14,Monitor Arm Single,SKU-MA-014,Furniture,Accessories,89.00,130,S005,4.6
15,Power Strip Surge,SKU-PS-015,Electronics,Accessories,39.99,410,S003,4.4
